SerialNumber,sbin,Wafer LotID,Wafer No,Wafer X,Wafer Y
725GXX072XU00005SA,PASS,T0HGW3,4,1,52
725GXX072YU00005SA,PASS,T0HGW3,4,1,54
725GXX072YZ00005SA,PASS,T0HGW3,4,1,57
725GXX0730200005SA,PASS,T0HGW3,4,1,58
725GXX072YV00005SA,PASS,T0HGW3,4,1,59
725GXX0733300005SA,PASS,T0HGW3,4,1,60
725GXX072Z000005SA,PASS,T0HGW3,4,2,44
725GXX072Z400005SA,PASS,T0HGW3,4,2,45
725GXX072WU00005SA,PASS,T0HGW3,4,2,49
725GXX072XV00005SA,PASS,T0HGW3,4,2,53
725GXX0731800005SA,PASS,T0HGW3,4,2,55
725GXX072WV00005SA,PASS,T0HGW3,4,2,56
725GXX072WZ00005SA,PASS,T0HGW3,4,2,57
725GXX0733B00005SA,PASS,T0HGW3,4,2,58
725GXX0733600005SA,PASS,T0HGW3,4,2,60
725GXX072YY00005SA,PASS,T0HGW3,4,2,61
725GXX0730500005SA,PASS,T0HGW3,4,2,62
725GXX0730600005SA,PASS,T0HGW3,4,2,63
725GXX0732600005SA,PASS,T0HGW3,4,2,64
725GXX072XX00005SA,PASS,T0HGW3,4,2,65
725GXX072Z300005SA,PASS,T0HGW3,4,2,66
725GXX0732700005SA,PASS,T0HGW3,4,2,67
725GXX0733800005SA,PASS,T0HGW3,4,3,38
725GXX074TN00005SA,PASS,T0HGW3,4,3,66
725GXX074SL00005SA,PASS,T0HGW3,4,3,70
725GXX074PK00005SA,PASS,T0HGW3,4,3,72
725GXX074ND00005SA,PASS,T0HGW3,4,3,73
725GXX074RL00005SA,PASS,T0HGW3,4,3,74
725GXX074PG00005SA,PASS,T0HGW3,4,4,34
725GXX074TP00005SA,PASS,T0HGW3,4,4,73
725GXX074QH00005SA,PASS,T0HGW3,4,4,75
725GXX074QP00005SA,PASS,T0HGW3,4,4,77
725GXX074PY00005SA,PASS,T0HGW3,4,5,78
725GXX074U000005SA,PASS,T0HGW3,4,5,81
725GXX074UE00005SA,PASS,T0HGW3,4,6,30
725GXX074QU00005SA,PASS,T0HGW3,4,6,78
725GXX074SZ00005SA,PASS,T0HGW3,4,6,83
725GXX074S000005SA,PASS,T0HGW3,4,6,84
725GXX074R400005SA,PASS,T0HGW3,4,7,27
725GXX074P300005SA,PASS,T0HGW3,4,7,31
725GXX0730Z00005SA,PASS,T0HGW3,4,7,33
725GXX074P700005SA,PASS,T0HGW3,4,7,82
725GXX074TG00005SA,PASS,T0HGW3,4,7,83
725GXX074RG00005SA,PASS,T0HGW3,4,7,84
725GXX074RF00005SA,PASS,T0HGW3,4,7,85
725GXX073H400005SA,PASS,T0HGW3,4,8,24
725GXX073E600005SA,PASS,T0HGW3,4,8,31
725GXX074TK00005SA,PASS,T0HGW3,4,8,77
725GXX074Q800005SA,PASS,T0HGW3,4,8,87
